feature,importance
num__unsupported_word_ratio,1.0603030685689114
num__number_match,0.9424959452679683
num__evidence_token_count,0.8267308097065963
num__rag_answer_token_count,0.8231199936832854
num__rag_entity_count,0.8101913396372807
cat__source_doc_docs/NIST.SP.800-171r3.pdf,0.7152346090657831
cat__source_doc_docs/rfc9110.pdf,0.6922895063352482
num__length_ratio,0.5735155884115185
num__date_mismatch,0.5343270682319426
num__jaccard_similarity,0.5086324475485215
num__technical_term_extra,0.46348892236380895
num__answer_token_count,0.45242612682697625
num__rag_number_count,0.4441747450039772
cat__question_type_identifier,0.4346419116487625
num__technical_term_overlap,0.40917455134274916
num__entity_missing,0.4047753872615037
num__keyword_overlap,0.37117074983386844
cat__question_type_function,0.35026496890209324
cat__question_type_definition,0.32097491766350095
cat__question_type_procedure,0.30191322591094516
cat__source_doc_docs/wellarchitected-framework.pdf,0.29888112651952337
num__semantic_evidence_rag,0.24744772460144893
num__date_match,0.2375560002530591
num__token_overlap,0.22658235705474725
num__coverage_ratio,0.22658235705474725
cat__question_type_factual,0.1683262747695554
num__semantic_answer_rag,0.1647427694532724
cat__source_doc_docs/NIST.SP.800-53r5.pdf,0.16325194214402358
cat__source_doc_docs/OWASP_Application_Security_Verification_Standard_5.0.0_en (1).pdf,0.16290047877072222
num__number_extra,0.14000560767068065
num__entity_overlap,0.11976922858188904
num__entity_extra,0.11795605203885229
cat__question_type_requirement,0.11344051265792289
num__reference_number_count,0.09455634986050393
num__technical_term_missing,0.07693240455334498
num__number_mismatch,0.056913567356443186
num__date_extra,0.054776543856353346
cat__difficulty_hard,0.031438067261173895
num__technical_consistency_mismatch,0.028646968471501767
num__reference_entity_count,0.019424758653010486
cat__question_type_inference,0.014755680547168339
cat__difficulty_medium,0.014444251408031388
cat__difficulty_easy,0.012667624188455325
